word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
child,-0.010242978,-0.06724909,0.0534877,-0.028703414,-0.010622838,0.039334748,0.04597296,-0.06871003,0.049742308,0.07262353,-0.09717349,0.04082177,0.045184612,-0.03482814,-0.00018866098
bar,0.072538696,-0.06387472,-0.091729335,-0.018781295,-0.0070302486,0.058499787,-0.0313173,-0.063057,-0.060458332,-0.10267076,0.028842973,0.04572144,-0.038471192,0.024634875,-0.00297989
sale,0.09875397,-0.08303859,0.0100628035,0.10476109,-0.095754944,0.049015746,0.06036944,-0.05858604,-0.06718074,-0.109743424,-0.11007214,-0.036130525,-0.07668639,0.035674427,-0.0036055692
case,-0.06614069,0.037614767,-0.04452822,0.049938116,0.07956078,-0.098511696,-0.086342715,-0.058712937,-0.07062446,-0.07986404,-0.08872281,-0.072963916,-0.071407594,0.08072235,-0.0014516755
many,-0.003777347,0.05846252,0.09397629,0.07581801,-0.026369713,-0.017878179,-0.07642752,-0.06259901,-0.020404687,0.042994004,0.066544965,-0.044408254,0.015958736,-0.03432286,-0.0009193243
get,0.03755626,0.08350961,0.09251204,-0.06932072,-0.06475387,-0.07403746,0.07196068,-0.059622504,0.023656122,0.03893669,-0.11055462,0.08412557,0.072263874,0.056774583,0.00083460845
like,0.078789204,0.050933022,-0.06336032,0.054449618,-0.09671216,0.07818052,-0.094547674,-0.06926914,0.0012899806,0.081792705,0.07082128,0.058822606,-0.095538706,0.07289105,0.0028065713
even,-0.07361734,0.055126294,0.10127979,0.04590758,-0.038178597,0.059168667,-0.089061834,0.07953905,-0.026190827,0.037311565,0.12001925,-0.041739874,0.084125616,0.03420856,0.0043359767
business,0.12694027,0.053771332,0.05782307,0.022605952,-0.063743465,0.04769657,0.0047146957,-0.060038976,-0.10166859,0.05951836,-0.09182967,-0.035531867,-0.12400467,-0.097686626,-0.0013302095
antismoking,0.04818792,0.05582812,0.06455858,0.08033639,-0.08855235,0.026591491,-0.06762757,-0.05905574,-0.029239092,-0.10234716,0.08807568,0.065335676,0.06081322,0.07374637,-0.0040842313
drug,-0.054882858,0.056244697,0.03921378,0.06495192,-0.084718,0.046232596,0.01852227,-0.06814658,0.075300656,0.05642896,-0.07054828,-0.03092699,0.043526553,-0.09676462,0.004814312
may,-0.07333773,0.07658852,-0.12889817,-0.094661236,-0.020215537,0.0008245865,-0.012614773,-0.066545494,0.09327128,0.015569056,0.044776518,0.062259056,-0.036037564,0.03499095,0.0057167923
official,0.015194859,-0.08461203,-0.13279735,-0.09283785,-0.10969012,0.057237405,0.10096933,-0.058137383,0.037035305,-0.073582165,-0.07394218,-0.07929905,0.06316779,0.068611614,-0.003171088
use,-0.08114872,0.08355582,0.006616939,-0.004797895,-0.0033984834,0.0071342383,-0.0965055,0.07689433,0.02001425,-0.086465344,0.0739058,0.10264917,0.053228766,0.06358856,0.004840779
cigar,0.028228438,-0.06286487,-0.09922703,-0.039644316,-0.09558242,-0.062537074,-0.042287648,0.081752256,-0.052888718,0.037611693,0.10324169,-0.11248288,0.0042805504,0.09927266,-0.0006599754
disease,-0.066548645,0.0714072,0.03021704,-0.088679835,0.09760664,-0.09390363,-0.06721634,-0.07121918,0.086324945,-0.123657994,-0.070901394,-0.074711695,-0.08897659,0.0975528,0.004177164
cost,0.11283798,0.06716419,0.043568723,0.06500588,0.0010387334,0.013335455,-0.076515466,0.08167811,-0.10107728,-0.088700734,-0.012785365,-0.050043073,0.059008725,-0.0012980023,0.00488728
want,0.050038423,0.07321901,-0.006156565,0.062553875,0.0769137,0.036248412,0.023112869,-0.064412646,-0.10922185,0.09704978,-0.057023525,0.06476305,0.016849661,-0.11686653,0.0035278522
pack,0.08993018,0.048659384,-0.047240775,-0.0963546,-0.072486244,-0.06961984,0.05999786,-0.06997645,-0.038469404,-0.029156832,-0.0020629757,0.05360437,-0.06733944,-0.04765138,0.0031828932
campaign,-0.027053637,0.067717515,0.01145349,-0.026995914,-0.1041004,-0.08188828,-0.10168017,-0.057139553,0.113917224,0.012329005,0.04963848,0.076236,0.112489365,-0.024656605,0.005202689
increase,0.08112977,0.07643379,-0.023932334,-0.0026822886,-0.073265105,0.033738997,-0.06446047,-0.057961363,-0.08911543,-0.10402149,-0.11531441,0.051837794,-0.031918935,-0.009282699,0.002707057
quit,-0.072097845,-0.07878288,-0.08955735,0.051499486,-0.069675796,-0.07226856,-0.08153212,-0.071794994,0.034604438,0.10745407,-0.10515452,-0.10769715,-0.07899342,-0.030448683,-0.0017283633
go,-0.04631764,0.06631232,0.04546932,-0.006684706,-0.008356818,0.06535714,-0.06815054,0.087579414,-0.039901394,0.10071584,-0.094680145,0.07249496,-0.06662093,0.03281599,0.003459983
month,0.040639598,-0.085943766,-0.06973221,-0.09734093,0.02553063,0.050844245,0.054656457,-0.06425599,0.035799183,-0.04819147,0.0037001804,-0.030101975,-0.08736209,0.039943658,-0.0029567906
way,0.076511964,-0.08783255,0.11975069,-0.03358341,-0.0401957,-0.068114296,-0.038318966,-0.06044903,0.056474037,0.10137512,0.04614862,0.029461054,-0.1320694,-0.052557066,0.00038130226
advertising,0.012127216,-0.081133865,0.06622272,0.05088775,0.07641442,0.06286401,0.007606978,-0.054805588,-0.098801665,-0.08070975,0.072376624,0.08509574,-0.10135853,0.07656636,0.0049018934
area,-0.05981256,0.079229034,-0.05093003,-0.06079617,-0.070374325,0.08980811,0.02174375,-0.064895354,-0.086064644,-0.07320296,-0.085146725,-0.0036956181,-0.12526004,0.04969003,0.003059549
florida,0.089077085,0.07806031,-0.06216284,-0.096084125,0.064162,-0.036189128,-0.06092464,-0.062088184,0.008047307,-0.11270601,-0.10293733,-0.06441265,-0.05604484,-0.10950934,0.0012010245
house,-0.09149485,0.07624806,0.032873575,-0.09797812,-0.0964779,-0.018967334,-0.023592085,-0.0576504,-0.09930487,0.062156625,-0.061060604,-0.04926314,0.10136674,0.04687711,-0.0005475152
department,0.027295055,0.07641635,0.07599484,-0.09748823,0.025231723,-0.0054825787,0.09448845,0.08745039,-0.058269773,0.014193319,-0.016841296,-0.009608069,-0.046002053,-0.013888848,0.0024970581
report,-0.10035667,-0.07771956,-0.076627396,0.021455478,-0.06386294,-0.07601651,0.07178479,-0.06211822,0.10258258,-0.093225084,-0.06198412,-0.016228033,-0.017524982,0.038143504,-0.0043448163
president,0.0118741905,0.06006953,0.0678486,-0.10901148,-0.09064331,0.0993051,-0.015558422,-0.057033833,-0.05239874,0.026042433,0.00788616,-0.054712124,0.10939639,0.054373287,-0.0029435635
issue,-0.0979939,0.060718056,-0.086777605,-0.0103701195,0.093303,-0.044365156,-0.07749077,-0.06115887,0.08862531,-0.08116008,-0.059182163,0.08386847,0.08252281,0.02597509,-0.0027215607
council,-0.08500819,0.057049517,0.02767672,-0.025561482,-0.089388646,0.04429682,-0.103204995,-0.054017924,-0.072738536,-0.106827095,-0.054476276,-0.074809656,0.085543774,-0.02800739,0.0023590436
lawyer,-0.050755728,-0.078738876,0.010108019,0.030111052,0.09493173,-0.0836864,-0.106267974,-0.058140684,-0.09598698,-0.07652584,-0.08948715,-0.10066253,-0.08363432,0.039997898,0.00041226493
york,0.03253073,-0.072367415,0.09984881,0.08166352,-0.0331444,0.030399907,0.057346143,-0.05910873,0.022261325,-0.03768145,0.015964735,0.044297606,-0.118612334,0.08856204,0.004963143
help,0.10033073,-0.09745774,-0.08035702,0.017972615,-0.09608371,-0.02660981,0.012345695,-0.070143566,-0.0070448946,0.10365419,-0.10503507,0.11585713,0.01420493,-0.10829887,-0.0030134872
death,-0.08918587,-0.08001418,0.103952006,-0.03354364,0.0024513395,-0.047770273,-0.023321155,-0.055350244,0.09056273,-0.04729651,-0.11867882,-0.10827712,-0.010170201,0.092053086,0.0043577976
among,-0.10528452,-0.08655955,-0.12564076,-0.07647069,-0.0471312,-0.08451565,-0.112548836,0.07818443,-0.04141282,-0.07918225,0.10155526,0.033341944,0.10619209,0.033101927,-0.0002195561
much,0.057100166,-0.1003356,-0.028522156,-0.0137999635,-0.09702735,-0.08523187,-0.0032588514,0.0859686,0.08117532,-0.004502481,-0.0061401217,0.08461395,0.08293754,-0.11400075,-0.005165989
take,-0.051991027,-0.078978814,0.049046762,-0.07415283,-0.02438785,0.022037078,0.07965647,-0.06390666,0.053706147,0.047168087,-0.056354772,-0.02307332,0.09250449,-0.040147852,0.005582913
secondhand,-0.06318346,0.072674714,-0.10281673,0.025671033,-0.033614904,0.018833082,-0.09813545,-0.07283044,0.084601305,0.042044777,-0.08249585,0.012348904,-0.03415979,0.0012314229,-0.0047021583
dont,-0.02123887,0.07559548,0.039941147,0.105782524,-0.052216142,-0.05132218,0.058357067,-0.06866833,-0.027835486,0.071653746,0.097126804,0.10380521,-0.06916925,-0.058636792,0.0026871222
effect,0.014176248,-0.0782745,0.09581132,0.068035476,-0.024144262,0.102800295,-0.074893676,-0.06264313,0.017308084,-0.07108967,-0.11268628,-0.114519455,-0.056278784,-0.06728581,0.00041983658
pay,0.108788654,-0.091895685,-0.003735884,0.10308589,-0.009582692,-0.059159495,-0.030831723,-0.053251144,-0.08175602,-0.060923293,-0.07922946,-0.10733053,-0.02733426,-0.09614141,0.0030814158
maker,0.093312435,0.06623287,0.061753917,0.010455121,0.075959526,-0.06828153,-0.107152455,-0.053739026,-0.08677002,-0.08855932,-0.07949645,-0.018513279,-0.10041419,0.034059938,-0.0017053719
since,0.016741592,0.082493655,-0.068125285,-0.11640551,-0.08734819,0.10532781,-0.041121896,0.076234706,-0.036887348,0.023114646,0.088590994,-0.12655573,-0.09755718,0.096696936,-0.0024301908
ad,0.046471298,-0.07868463,0.073862374,0.04641793,0.015048373,-0.08482456,-0.10373178,-0.05173048,0.010994519,0.031690683,0.037088923,0.07790158,-0.029352648,-0.038035415,-0.0054671005
woman,-0.08273987,-0.061320126,0.032736294,0.031390008,-0.054516096,-0.104293436,-0.06853155,-0.07819091,0.04624964,0.0793553,0.051340416,-0.10463164,-0.07689977,0.042487543,0.00045494022
right,-0.10942149,0.057731587,-0.049073543,0.090039276,0.106639005,0.051547986,0.011044843,-0.060444932,0.016881244,-0.112329915,0.02368391,0.1058826,0.020550618,-0.086996846,-0.0036753258
three,0.024095727,-0.07901557,-0.13407712,-0.018009523,0.0027572548,-0.019759413,0.07485058,-0.067809,0.074404165,0.0041746115,-0.051766466,-0.0018917518,-0.04026523,0.036571648,0.0043216706
found,-0.06830803,0.058802575,-0.07144489,0.051065225,-0.09110265,-0.03756068,0.08366108,0.09729109,0.06880384,-0.083375044,-0.028765447,0.1089623,-0.0708441,-0.09680969,0.0034065398
place,-0.10009282,-0.06682669,-0.008622143,0.10967146,-0.065943345,0.05816959,-0.086690985,-0.07143841,-0.016418803,0.09835536,0.018874146,-0.06197062,0.01698551,-0.098287195,-0.0058823572
still,0.0044795596,-0.08200331,0.079716995,0.076577604,-0.0949185,0.021298192,-0.08612742,-0.06793711,-0.024658373,-0.062283378,0.09695719,0.052208472,0.09680804,-0.06606234,0.003575754
association,0.0026417172,-0.08643274,-0.035948057,-0.031848077,-0.08194532,0.036961216,-0.07575338,-0.066825196,0.059330735,0.042672087,0.048563253,-0.019572377,0.007717501,0.058310643,0.0007593127
national,0.09773407,-0.08930409,0.078946784,-0.105785,-0.0659496,0.015003659,0.086359344,-0.05576762,0.048494827,-0.12441449,0.015005581,-0.10518804,-0.025271403,-0.10668728,-0.002823717
part,-0.06695564,-0.0780691,0.040163018,-0.07738217,0.012621574,0.05365846,0.05480566,0.08470039,-0.10503895,0.07809246,0.11562479,-0.018480256,-0.070619464,0.044664558,-0.0020706146
today,-0.0720487,-0.08462555,-0.03688103,-0.11146008,0.016553074,-0.051552862,-0.091853745,-0.06283175,0.06860735,0.0838221,0.012378786,-0.022562811,0.099248014,-0.07246317,0.00032461563
risk,-0.09428554,-0.06938896,-0.09981635,0.05988463,0.009811141,-0.08161253,-0.045622487,-0.07639432,0.08164588,-0.11986015,-0.100212365,-0.04731551,-0.02639226,-0.11516181,-0.005324211
including,-0.010061219,-0.09208168,0.015023493,-0.0586827,0.02906849,0.086166486,-0.08832084,-0.062268194,-0.016371623,-0.061632745,0.005527397,-0.1303716,0.007640951,-0.043762773,-0.00031644868
effort,-0.101016544,-0.084765516,-0.0010694304,-0.10114373,-0.014672861,-0.05613159,-0.016067302,-0.056979723,0.064097926,0.070309624,0.08975055,0.03717238,0.09319077,0.07477482,-0.0056505003
plan,0.0667565,0.06826965,-0.07750777,-0.11073147,-0.031949405,0.06172282,-0.1033244,-0.065444455,-0.08460946,0.014820817,-0.11177461,0.054070894,0.06565089,0.02856895,0.0006601624
